empty,title,description,price,category,subcategory,subsubcategory,condition,gender,size,brand,images,id,sold
,Langarm-Shirt mit Hund,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Oberteile,Langarmshirts,Neuwertig,2,86,Sonstiges,2828606_407_c86713ea96b050d938169096e12f4210.JPEG,3579860,
,schwarze Latzhose,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Hosen,Lange Hosen,Gebraucht,2,86,Sonstiges,2828605_637_49e3d76cc5accd03fc693b16c70062eb.JPEG,3579862,
,Schwimmwindel / Badehose ,"Neuwertiger Zustand, keine Gebrauchsspuren, keine Mängel, Löcher oder Flecken",2,Bekleidung,Badebekleidung & Schwimmhilfen,Schwimmwindel (Einweg & Stoff),Neuwertig,2,86,Sonstiges,2828604_906_b0bbe7fcd6b0e95f7d92f8ca7e019f81.JPEG,3579863,
,kurze Hose dunkelblau,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Hosen,Kurze Hosen,Gebraucht,2,86,Sonstiges,2828603_13_5748398d3e1454954fcc78bbde567670.JPEG,3579864,
,Badehose mit Bananen-Print,"Kaum getragen. Keine Mängel, Flecken oder Löcher. Gewaschen.",2,Bekleidung,Badebekleidung & Schwimmhilfen,Badehosen,Neuwertig,2,86,Sonstiges,2828602_72_19807520471ee0f7e2175a9e48359a76.JPEG,3579865,
,UV-Schutz Badekleidung Set,"Am Oberteil etwas Pilling (siehe Foto), sonst keine Mängel, Flecken oder Löcher",2,Bekleidung,Badebekleidung & Schwimmhilfen,Badehosen,Neuwertig,2,86,Set,"2828600_199_5a0a63a82f8df9fd249461f1281499d6.JPEG, 2828600_538_e368809061da0e70b730ecfe1b5c464a.JPEG",3579868,
,graues Monster T-Shirt mit Klappe,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Oberteile,T-Shirts & Tops,Gebraucht,2,86,Sonstiges,"2828598_415_ddf727f0d8349e5049f700654d21749d.JPEG, 2828598_415_ddf727f0d8349e5049f700654d21749d.JPEG",3579869,
,graues Polo-Shirt,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Oberteile,T-Shirts & Tops,Gebraucht,2,86,Sonstiges,2828597_990_b468c2d77f6488b885c294a0c9fed09b.JPEG,3579871,
,blaues Monster-Shirt mit Klappe,"Keine Mängel, Flecken oder Löcher. Gewaschen, aber nicht gebügelt",1,Bekleidung,Oberteile,T-Shirts & Tops,Gebraucht,2,86,Lupilu,"2828596_736_c5ede71880e2d4cb63faff43e9ff41d2.JPEG, 2828596_944_461579cea1332fc14142c617866ab06f.JPEG",3579874,
,OVP Set aus Latzhose und Tshirt,Neu und originalverpacktes Set aus kurzer Latzhose und Tshirt,5,Bekleidung,Hosen,Kurze Hosen,Neu,2,86,Set,"2828595_745_aeaf406ad0bd4cdd132480bbff960d56.JPEG, 2828595_524_7804120cfef4b4665f11bcf82018ea5b.JPEG",3579876,
,Schwimmwindel / Badehose ,"Schwimmwindel / Badehose von bambino mio
Neuwertiger Zustand",2,Bekleidung,Badebekleidung & Schwimmhilfen,Schwimmwindel (Einweg & Stoff),Neuwertig,2,86,Sonstiges,2828591_713_7a9bdb8b7f9ec824b88745745f383c0f.JPEG,3579878,
,Übergangs - Babydecke,"Innen fellartiges Fleece
Außen Dunkelblau mit Sternen
von Babydream
sehr guter Zustand ohne Mängel oder Flecken",1,Babyausstattung,Babydecken & Bettwäsche,Babydecken,Gebraucht,,,,2737285_607_dc0afc2af13dc10aebdfdfcd1ebd8685.JPEG,3482615,sold
,Stillkissen,"Leider ein Fleck auf dem Bezug. Bezug könnte man aber auch nachkaufen.
Firma: Sei Design (sehr gut bewertet auf Amazon)",1,Babyausstattung,Alles rund um´s Stillen,,Mit Mängel,,,,"2737278_572_95b3d6e04f9daa620f8f0842d2ffe149.JPEG, 2737278_453_693f9dd004276911ab9f36abfdf9e133.JPEG",3579879,
,"Neu & unbenutzt Buch mit Kinderliedern, incl CDs","Haben wir geschenkt bekommen, aber haben keinen CD-Spieler und es deshalb nie genutzt",3,Bücher,Bücher für Kleinkinder (ab 3 Jahre),,Neu,,,,2737145_924_aca68221173d65a4d83a915659bb61ea.JPEG,3579880,
,Bilderbuch Figuren aus Alltagsgegenständen,"Wunderschön gemachtes Buch, vielleicht macht es noch jemandem Freude
Gebrauchsspuren an den Ecken und Kanten",0.5,Bücher,Bücher für Kleinkinder (2-3 Jahre),,Gebraucht,,,,2737125_139_6781c6634f4c916622e3be1aae8fa3be.JPEG,3579883,
,Wimmelbuch mit Alltagsszenen,"Sichtbare Gebrauchsspuren, aber nichts wirklich kaputt oder so",0.5,Bücher,Bücher für Kleinkinder (2-3 Jahre),,Gebraucht,,,,2737092_739_3cd1bfda48dcdddfdaa387ee1324079c.JPEG,3579887,
